Generation,Regime,Number
0,T1 (set 1),60
1,T1 (set 1),55
2,T1 (set 1),51
3,T1 (set 1),42
4,T1 (set 1),36
5,T1 (set 1),30
6,T1 (set 1),20
7,T1 (set 1),13
8,T1 (set 1),6
9,T1 (set 1),3
10,T1 (set 1),1
0,T1 (set 2),60
1,T1 (set 2),51
2,T1 (set 2),40
3,T1 (set 2),32
4,T1 (set 2),23
5,T1 (set 2),15
6,T1 (set 2),8
7,T1 (set 2),7
8,T1 (set 2),4
9,T1 (set 2),3
10,T1 (set 2),3
0,T2,60
1,T2,48
2,T2,34
3,T2,26
4,T2,19
5,T2,13
6,T2,8
7,T2,6
8,T2,6
9,T2,4
10,T2,2
0,T3,60
1,T3,55
2,T3,49
3,T3,39
4,T3,24
5,T3,12
6,T3,4
7,T3,3
8,T3,0
0,T4,60
1,T4,21
2,T4,13
3,T4,3
4,T4,1
5,T4,0
0,T5 (set 1),89
1,T5 (set 1),40
2,T5 (set 1),16
3,T5 (set 1),5
4,T5 (set 1),1
5,T5 (set 1),0
0,T5 (set 2),60
1,T5 (set 2),27
2,T5 (set 2),12
3,T5 (set 2),4
4,T5 (set 2),0
0,T6,60
1,T6,42
2,T6,35
3,T6,7
4,T6,2
5,T6,0
