Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	DISTANCE	STRAND	FLAGS	SYMBOL_SOURCE	HGNC_ID	DOMAINS	CLIN_SIG	SOMATIC	PHENO
.	I:4991550-4991550	T	upstream_gene_variant	MODIFIER	-	GCK72_000815	Transcript	GCK72_000815.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	4131	1	-	-	-	-	-	-	-
.	I:5657180-5657180	T	downstream_gene_variant	MODIFIER	-	GCK72_000976	Transcript	GCK72_000976.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	3814	1	-	-	-	-	-	-	-
.	I:5657180-5657180	T	synonymous_variant	LOW	-	GCK72_000977	Transcript	GCK72_000977.t1	protein_coding	1/4	-	-	-	18	18	6	K	aaG/aaA	-	-	-1	-	-	-	AlphaFold_DB_import:AF-A0A6A5HSH9-F1	-	-	-
.	I:5657180-5657180	T	upstream_gene_variant	MODIFIER	-	GCK72_000978	Transcript	GCK72_000978.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	1592	1	-	-	-	-	-	-	-
.	I:5657180-5657180	T	downstream_gene_variant	MODIFIER	-	GCK72_000979	Transcript	GCK72_000979.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	3663	-1	-	-	-	-	-	-	-
.	I:7642479-7642479	T	upstream_gene_variant	MODIFIER	-	GCK72_001471	Transcript	GCK72_001471.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	3679	-1	-	-	-	-	-	-	-
.	I:7642479-7642479	T	missense_variant	MODERATE	-	GCK72_001472	Transcript	GCK72_001472.t1	protein_coding	1/5	-	-	-	283	283	95	E/K	Gag/Aag	-	-	-1	-	-	-	AlphaFold_DB_import:AF-A0A6A5HPT5-F1,PANTHER:PTHR15414	-	-	-
.	I:7642479-7642479	T	upstream_gene_variant	MODIFIER	-	GCK72_001473	Transcript	GCK72_001473.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	709	1	-	-	-	-	-	-	-
.	I:7642479-7642479	T	downstream_gene_variant	MODIFIER	-	GCK72_001474	Transcript	GCK72_001474.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	3843	-1	-	-	-	-	-	-	-
.	I:7642479-7642479	T	downstream_gene_variant	MODIFIER	-	GCK72_001475	Transcript	GCK72_001475.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	4915	-1	-	-	-	-	-	-	-
.	I:11386161-11386161	T	upstream_gene_variant	MODIFIER	-	GCK72_002508	Transcript	GCK72_002508.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	998	-1	-	-	-	-	-	-	-
.	I:11386161-11386161	T	missense_variant	MODERATE	-	GCK72_002509	Transcript	GCK72_002509.t1	protein_coding	8/12	-	-	-	2033	2033	678	R/K	aGa/aAa	-	-	-1	-	-	-	PANTHER:PTHR24034,AlphaFold_DB_import:AF-A0A6A5HRZ1-F1	-	-	-
.	I:11386161-11386161	T	upstream_gene_variant	MODIFIER	-	GCK72_002510	Transcript	GCK72_002510.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	1802	1	-	-	-	-	-	-	-
.	II:1440383-1440383	T	downstream_gene_variant	MODIFIER	-	GCK72_003908	Transcript	GCK72_003908.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	4699	1	-	-	-	-	-	-	-
.	II:1440383-1440383	T	downstream_gene_variant	MODIFIER	-	GCK72_003909	Transcript	GCK72_003909.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	1313	-1	-	-	-	-	-	-	-
.	II:1572879-1572879	T	downstream_gene_variant	MODIFIER	-	GCK72_003924	Transcript	GCK72_003924.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	3963	1	-	-	-	-	-	-	-
.	II:1572879-1572879	T	splice_donor_variant	HIGH	-	GCK72_003925	Transcript	GCK72_003925.t1	protein_coding	-	2/9	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
.	II:1572879-1572879	T	upstream_gene_variant	MODIFIER	-	GCK72_003926	Transcript	GCK72_003926.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	4958	1	-	-	-	-	-	-	-
.	II:6976748-6976748	T	upstream_gene_variant	MODIFIER	-	GCK72_004976	Transcript	GCK72_004976.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	2717	-1	-	-	-	-	-	-	-
.	II:6976748-6976748	T	intron_variant	MODIFIER	-	GCK72_004977	Transcript	GCK72_004977.t1	protein_coding	-	3/3	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
.	II:6976748-6976748	T	upstream_gene_variant	MODIFIER	-	GCK72_004978	Transcript	GCK72_004978.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	1625	-1	-	-	-	-	-	-	-
.	II:6976748-6976748	T	missense_variant	MODERATE	-	GCK72_004979	Transcript	GCK72_004979.t1	protein_coding	3/5	-	-	-	482	482	161	G/E	gGa/gAa	-	-	-1	-	-	-	Gene3D:3.50.40.10,AlphaFold_DB_import:AF-A0A6A5HB76-F1,Pfam:PF03483,PANTHER:PTHR10947,SMART:SM00873,Superfamily:SSF56037,TIGRFAM:TIGR00471	-	-	-
.	II:6976748-6976748	T	downstream_gene_variant	MODIFIER	-	GCK72_004980	Transcript	GCK72_004980.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	1280	-1	-	-	-	-	-	-	-
.	II:9406350-9406350	T	downstream_gene_variant	MODIFIER	-	GCK72_005589	Transcript	GCK72_005589.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	4570	1	-	-	-	-	-	-	-
.	II:9406350-9406350	T	downstream_gene_variant	MODIFIER	-	GCK72_005590	Transcript	GCK72_005590.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	3509	1	-	-	-	-	-	-	-
.	II:9406350-9406350	T	synonymous_variant	LOW	-	GCK72_005591	Transcript	GCK72_005591.t1	protein_coding	2/12	-	-	-	204	204	68	E	gaG/gaA	-	-	-1	-	-	-	AlphaFold_DB_import:AF-A0A6A5HD01-F1,Pfam:PF02460,PANTHER:PTHR10796	-	-	-
.	II:9406350-9406350	T	downstream_gene_variant	MODIFIER	-	GCK72_005592	Transcript	GCK72_005592.t1	protein_coding	-	-	-	-	-	-	-	-	-	-	3907	-1	-	-	-	-	-	-	-
